time,altitude,velocity,acc,grav,pres,temp,
254464.263632453,70073.7172847993,1.31234134882694,0.000360463825192294,7.86547449380709,0,305.510685372504,
254464.283632453,70073.6925996724,1.31234219674151,0.000361791121815309,7.86547507332135,0,305.51068638735,
254464.303632453,70073.6679145531,1.31234157529892,0.000360820060182812,7.86547565283567,0,305.51068731883,
254464.323632453,70073.6432294336,1.31234134436662,0.000360413219706976,7.86547623235041,0,305.510688332445,
254464.343632453,70073.6185443219,1.31234077053797,0.000358829569439988,7.86547681186522,0,305.510689345439,
254464.363632453,70073.5938592023,1.31234320042337,0.000357623048907986,7.86547739138514,0,305.510690275083,
254464.383632453,70073.5691740828,1.31234210564663,0.00035856525203043,7.86547797089971,0,305.510691286831,
254464.403632453,70073.544488906,1.31234169144308,0.000359932421231961,7.86547855041436,0,305.51069229795,
254464.423632453,70073.5198037867,1.31234154102022,0.000358763708288408,7.86547912993484,0,305.51069330844,
254464.443632453,70073.4951186095,1.31234139002336,0.000359013789263654,7.86547970944384,0,305.510694235507,
254464.463632453,70073.4704335479,1.31234131156047,0.000359666820933413,7.86548028896138,0,305.51069524473,
254464.483632453,70073.4457484322,1.31234119156411,0.000359387234058797,7.86548086847934,0,305.510696253314,
254464.503632453,70073.4210633053,1.31234134230694,0.000359206196089052,7.86548144799394,0,305.510697178493,
254464.523632453,70073.3963781858,1.31234122681014,0.00035964017560945,7.86548202751203,0,305.510698185795,
254464.543632453,70073.3716930702,1.31234099869738,0.000359728426793,7.86548260702982,0,305.510699192453,
254464.563632453,70073.3470079469,1.31234107948281,0.000360180169259203,7.86548318654497,0,305.510700115721,
254464.583632453,70073.3223228239,1.31233964865154,0.000361051921893467,7.86548376605749,0,305.510701121082,
254464.603632453,70073.2976377659,1.31234065757504,0.000360476263526717,7.86548434557818,0,305.510702125791,
254464.623632453,70073.2729526464,1.31234111398112,0.000359787990273613,7.86548492509623,0,305.510703047128,
254464.643632453,70073.2482675271,1.31234116584185,0.000359690517603467,7.86548550460893,0,305.510704050527,
254464.663632453,70073.2235824039,1.31234132284704,0.000359663447576211,7.86548608412676,0,305.510705053267,
254464.683632453,70073.1988972843,1.31234171492636,0.000358065991059346,7.86548666364807,0,305.510706055346,
254464.703632453,70073.1742120999,1.31234151137812,0.000358957036858179,7.8654872431606,0,305.510706973985,
254464.723632453,70073.1495270417,1.31234127651181,0.000359048036479979,7.86548782267897,0,305.510707974735,
254464.743632453,70073.1248418534,1.31234166591854,0.000360800731415781,7.86548840219182,0,305.510708974817,
254464.763632453,70073.1001567955,1.31234147938221,0.000361821579395297,7.86548898171321,0,305.510709891479,
254464.783632453,70073.0754716761,1.31234154079894,0.000361059812113062,7.8654895612343,0,305.51071089022,
254464.803632453,70073.0507865527,1.31234178042777,0.000360817720587331,7.86549014074769,0,305.510711888287,
254464.823632453,70073.0261014584,1.31234165556723,0.00035948466835612,7.86549072026873,0,305.510712802952,
254464.843632453,70073.0014162775,1.31234162769494,0.000360050868664869,7.86549129978189,0,305.510713799665,
254464.863632453,70072.976731187,1.3123420014202,0.000359343230901226,7.86549187930342,0,305.510714795697,
254464.883632453,70072.9520460062,1.31234178263304,0.00035968987627925,7.86549245881654,0,305.510715791045,
254464.903632453,70072.9273609099,1.31234187153347,0.00036033135616586,7.8654930383353,0,305.510716702929,
254464.923632453,70072.9026757904,1.31234222881518,0.000360656953843036,7.86549361785467,0,305.510717696908,
254464.943632453,70072.8779906365,1.31234186668646,0.000360620700590151,7.86549419736798,0,305.510718690197,
254464.963632453,70072.8533055459,1.31234190190301,0.000359969501271768,7.86549477689036,0,305.510719600043,
254464.983632453,70072.8286203976,1.31234206070307,0.000358990834289517,7.86549535640397,0,305.51072059195,
254465.003632453,70072.803935307,1.31234230813811,0.000359473352757794,7.8654959359263,0,305.510721583163,
254465.023632453,70072.7792501081,1.31234179039698,0.000360284065626462,7.86549651543987,0,305.510722490953,
254465.043632453,70072.7545650643,1.31234208025402,0.000360254692839204,7.86549709496232,0,305.510723480772,
254465.063632453,70072.7298798836,1.31234215404059,0.000360132130769179,7.86549767447637,0,305.510724469889,
254465.083632453,70072.7051947623,1.3123422091293,0.000360048812647714,7.86549825399589,0,305.510725458305,
254465.103632452,70072.6805096754,1.31234223961388,0.000360286369406994,7.86549883351872,0,305.510726363238,
254465.123632452,70072.6558245034,1.31234224369331,0.000360211405364415,7.86549941303279,0,305.510727350244,
254465.143632452,70072.6311393922,1.3123425418027,0.000360256192124977,7.86549999255233,0,305.510728336543,
254465.163632452,70072.606454252,1.3123417322527,0.00036045739630015,7.86550057206958,0,305.510729239382,
254465.183632452,70072.5817691403,1.31234213165234,0.000360237229119851,7.86550115158942,0,305.510730224261,
254465.203632452,70072.5570840337,1.31234203495404,0.000358959366938213,7.86550173110969,0,305.510731208427,
254465.223632452,70072.532398876,1.31234207977547,0.000360088512645549,7.86550231062678,0,305.510732109157,
254465.243632452,70072.5077137181,1.31234251527649,0.000359823781104798,7.86550289014158,0,305.510733091892,
254465.263632452,70072.4830286027,1.31234265291544,0.000360127606563949,7.86550346966439,0,305.510734073909,
254465.283632452,70072.4583434948,1.31234233210172,0.000360162920838494,7.86550404918491,0,305.510735055206,
254465.303632452,70072.4336583539,1.31234249769907,0.000359985522062376,7.86550462870361,0,305.510735953009,
254465.323632452,70072.4089731908,1.31234404870807,0.000359291184774831,7.86550520822525,0,305.510736932862,
254465.343632452,70072.3842880278,1.31234318000176,0.000359486807994841,7.86550578774426,0,305.51073791199,
